Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
26801d9a-7937-420e-9c36-03ca007a6bef,a45327ef-31bb-49a9-920f-302d46ff9f0b,Creatinina en Suero en Hombre mg/dl,0,0,0.6,1.1,5.0,13.0,$patient.getGender().equals(""M"")
74380209-eb7f-41fa-95a7-171fcdb35439,a45327ef-31bb-49a9-920f-302d46ff9f0b,Creatinina en Suero en Mujer mg/dl,0,0,0.5,0.9,5.0,13.0,$patient.getGender().equals(""F"")
498193ef-17f5-423a-9f33-4a11ca0a2449,96538674-c5a1-4e4d-b15a-25268b55d5c2,Depuracion de Creatinina en Hombre en ml/min,0,30,98,156,200,300,$patient.getGender().equals(""M"")
178ca2c2-0568-4378-b6b2-4ecd11c26951,96538674-c5a1-4e4d-b15a-25268b55d5c2,Depuracion de Creatinina en Mujer en ml/min,0,30,95,160,200,300,$patient.getGender().equals(""F"")
22d94beb-029c-46ae-a8d7-b5becb86e1b1,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario Recien nacido hasta antes de 12h por celulas/mm3,100,2000,9000,30000,50000,100000,$patient.getAgeInDays() == 0 && $patient.getAgeInDays() <0.5
457699ea-b506-4348-9631-3d868d81a7e3,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario Recien nacido 12h -<24h por celulas/mm3,100,2000,13000,38000,50000,100000,$patient.getAgeInDays() >= 0.5 && $patient.getAgeInDays() <1
bad26c6b-d9f9-4d5c-a7d4-0414c770a2f4,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario Recien nacido 24h -<1 wks por celulas/mm3,100,2000,9400,34000,50000,100000,$patient.getAgeInDays() >= 1 && $patient.getAgeInWeeks() < 1
060ec06a-4fcb-4d30-9022-3b91ace7c9e5,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 1 -<2 wks por celulas/mm3,100,2000,5000,21000,50000,100000,$patient.getAgeInWeeks() >= 1 && $patient.getAgeInWeeks() < 2
f630c780-ae1b-426f-951b-8ad2cda94a3a,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 2 wks -< 1 month  por celulas/mm3,100,2000,5000,20000,50000,100000,$patient.getAgeInWeeks() >= 2 && $patient.getAgeInMonths() < 1
fb8ddda2-f1ac-4052-b2f2-4cefd0b0f345,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 1 -<6 month por celulas/mm3,100,2000,5000,19500,50000,100000,$patient.getAgeInMonths() >= 1 && $patient.getAgeInMonths() < 6
8bedf711-688e-4d98-8ee5-b40214ca7162,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 6 month -<2 yr por celulas/mm3,100,2000,6000,17500,50000,100000,$patient.getAgeInMonths() >= 6 && $patient.getAge() < 2
938bf92f-c96c-40dd-b83d-62d441324d0e,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 2  -<4 yr por celulas/mm3,100,2000,6000,17000,50000,100000,$patient.getAge() >= 2 && $patient.getAge() < 4
5de51d26-5ca7-45b9-a875-573d3aefb7de,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 4  -<6 yr por celulas/mm3,100,2000,5500,15500,50000,100000,$patient.getAge() >= 4 && $patient.getAge() < 6
f4340e07-b270-4c36-9a74-97e2081dbf5b,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 6 -<8 yr por celulas/mm3,100,2000,5000,14500,50000,100000,$patient.getAge() >= 6 && $patient.getAge() < 8
3dc9f4a6-b037-47b9-a133-82d0dc895f5c,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 8 -<16 yr por celulas/mm3,100,2000,4500,13500,50000,100000,$patient.getAge() >= 8 && $patient.getAge() < 16
3d719013-62ce-4969-9c1b-1a33b7ed4720,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 16 -<18 yr por celulas/mm3,100,2000,4500,13000,50000,100000,$patient.getAge() >= 16 && $patient.getAge() < 18
b080e3bc-bfbd-4f99-89fb-aaaf65cabbee,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario >= 18 yr por celulas/mm3,100,2000,4400,11300,50000,100000,$patient.getAge() >= 18
