Uuid,Role name,Description,Inherited roles,Privileges,_order:1000
58f60da3-03bd-4b57-bb3c-429b50f6939b,Application: Registers Patients,Registers patients,Privilege Level: High,app:home.admision,
564b560e-3fe8-4829-8be4-68ddb40cf106,Application: Uses Patient Summary,Uses patient summary,Privilege Level: High,app:hoja.clinica;app:hoja.clinica.resumen;app:hoja.clinica.signosVitales;app:hoja.clinica.medicamentos;app:hoja.clinica.ordenes;app:hoja.clinica.resultados;app:hoja.clinica.visitas;app:hoja.clinica.citas;app:hoja.clinica.alergias;app:hoja.clinica.condiciones;app:hoja.clinica.procedimientos;app:hoja.clinica.consultaExterna;app:hoja.clinica.adjuntos;app:hoja.clinica.historiaSocial;app:hoja.clinica.fichaFamiliar;app:hoja.clinica.tamizajes;app:hoja.clinica.odontologia;app:hoja.clinica.psicologia;app:hoja.clinica.terapiaFisica;app:hoja.clinica.interconsultas;app:hoja.clinica.inmunizaciones;app:hoja.clinica.imagenes;app:hoja.clinica.programas;app:hoja.clinica.facturacion,
93a9c2f8-9296-488f-9451-43667e1c4d7f,Application: Writes Clinical Notes,Writes clinical notes,Privilege Level: High,,
fab43ac4-79bc-4f3d-805b-bd3a82ce41e9,Organizational: Registration Clerk,Registration Clerk,Application: Registers Patients;,,
2f087f90-9c47-4262-bfce-23c7862e727e,Organizational: System Administrator,System Administrator,Application: Configures Forms; Application: Configures Metadata; Application: Administers System,,
7a4dd4c0-8f45-49f2-91b8-a4349952d07b,Doctor Consulta Externa,Atencion clinica integral de consulta externa,,app:home;app:home.colasAtencion;app:home.interconsultas;app:home.citas;app:home.laboratorio;app:home.farmacia;app:home.fua;app:opciones.busquedaPaciente;app:hoja.clinica;app:hoja.clinica.resumen;app:hoja.clinica.signosVitales;app:hoja.clinica.signosVitales.editar;app:hoja.clinica.medicamentos;app:hoja.clinica.medicamentos.editar;app:hoja.clinica.ordenes;app:hoja.clinica.ordenes.editar;app:hoja.clinica.resultados;app:hoja.clinica.resultados.editar;app:hoja.clinica.visitas;app:hoja.clinica.visitas.editar;app:hoja.clinica.citas;app:hoja.clinica.citas.editar;app:hoja.clinica.alergias;app:hoja.clinica.alergias.editar;app:hoja.clinica.condiciones;app:hoja.clinica.condiciones.editar;app:hoja.clinica.procedimientos;app:hoja.clinica.procedimientos.editar;app:hoja.clinica.consultaExterna;app:hoja.clinica.consultaExterna.editar;app:hoja.clinica.adjuntos;app:hoja.clinica.adjuntos.editar;app:hoja.clinica.inmunizaciones;app:hoja.clinica.inmunizaciones.editar;app:hoja.clinica.fichaFamiliar;app:hoja.clinica.fichaFamiliar.editar;app:hoja.clinica.interconsultas;app:hoja.clinica.interconsultas.editar;app:hoja.clinica.programas;app:hoja.clinica.programas.editar;View Navigation Menu;Get Patients;View Patients;Get Patient Identifiers;View Patient Identifiers;Get Identifier Types;View Identifier Types;Get People;View People;Get Person Attribute Types;View Person Attribute Types;Get Locations;View Locations;Get Location Attribute Types;Get Providers;Get Concepts;View Concepts;Get Concept Classes;View Concept Classes;Get Concept Datatypes;View Concept Datatypes;Get Concept Sources;View Concept Sources;Get Care Settings;Get Visits;Add Visits;Edit Visits;Delete Visits;Get Visit Types;Get Visit Attribute Types;Get Admission Locations;Get Beds;Get Encounters;View Encounters;Add Encounters;Edit Encounters;Delete Encounters;Get Encounter Types;View Encounter Types;Get Encounter Roles;Get Observations;View Observations;Add Observations;Edit Observations;Delete Observations;Get Forms;View Forms;Form Entry;Get Notes;Edit Notes;Delete Notes;Get Orders;View Orders;Add Orders;Edit Orders;Delete Orders;Get Order Types;View Order Types;Get Order Frequencies;Get Order Sets;Get Diagnoses;Edit Diagnoses;Delete Diagnoses;Get Diagnoses Attribute Types;Get Conditions;Edit Conditions;Delete Conditions;Get Problems;View Problems;Add Problems;Edit Problems;Remove Problems;Get Allergies;View Allergies;Add Allergies;Edit Allergies;Remove Allergies;Get Programs;View Programs;Get Patient Programs;View Patient Programs;Add Patient Programs;Edit Patient Programs;Delete Patient Programs;Get Relationships;View Relationships;Add Relationships;Edit Relationships;Delete Relationships;Get Relationship Types;View Relationship Types;View Appointments;View Appointment Services;Manage Appointments;Manage Own Appointments;Manage Appointment Queue Lifecycle;Get Queues;Get Queue Entries;Get Queue Rooms;Generate Fua from Visit;Fua Privilege;Read Fua,
e70120b5-000c-4e6f-94a5-a139c2b4b25c,Enfermera,Mismos accesos funcionales que Doctor Consulta Externa,Doctor Consulta Externa,,
71dcb611-756a-4ad3-a9bb-73b6cfe28066,Admision,Registro y busqueda de pacientes sin acceso a hoja clinica,,app:home;app:home.admision;app:home.citas;app:home.citas.editar;app:opciones.busquedaPaciente;app:opciones.registrarPaciente;View Navigation Menu;Get Patients;View Patients;Add Patients;Edit Patients;Get Patient Identifiers;View Patient Identifiers;Add Patient Identifiers;Edit Patient Identifiers;Get Identifier Types;View Identifier Types;Get People;View People;Add People;Edit People;Get Person Attribute Types;View Person Attribute Types;Get Relationships;View Relationships;Add Relationships;Edit Relationships;Get Relationship Types;View Relationship Types;Get Locations;View Locations;Get Location Attribute Types;Get Providers;Get Concepts;Get Concept Sources;Get Visits;Add Visits;Edit Visits;Get Visit Types;Get Visit Attribute Types;Get Admission Locations;Get Beds;View Appointments;View Appointment Services;Manage Appointments;Manage Own Appointments;Appointments: Invite Providers;Manage Appointment Queue Lifecycle;Get Queues;Get Queue Entries,
2049b153-6d8c-4bc1-96ab-f34f0ca43285,Laboratorio,Gestion operativa de ordenes y resultados de laboratorio,,app:home;app:home.laboratorio;app:home.laboratorio.editar;app:opciones.busquedaPaciente;View Navigation Menu;Get Patients;View Patients;Get Patient Identifiers;View Patient Identifiers;Get Locations;View Locations;Get Providers;Get Concepts;View Concepts;Get Care Settings;Get Visits;Add Visits;Edit Visits;Get Visit Types;Get Visit Attribute Types;Get Admission Locations;Get Beds;Get Encounters;View Encounters;Add Encounters;Edit Encounters;Get Encounter Types;Get Encounter Roles;Get Observations;View Observations;Add Observations;Edit Observations;Delete Observations;Get Orders;View Orders;Add Orders;Edit Orders;Get Order Types;View Order Types;Get Order Frequencies;Get Diagnoses;Get Conditions;Get Allergies;View Allergies;Get Forms;View Forms;Form Entry,
29c9d9b4-0925-417f-9343-bf9d97ac02ba,Farmacia,Gestion operativa de prescripciones y dispensacion,,app:home;app:home.farmacia;app:home.farmacia.editar;app:opciones.busquedaPaciente;View Navigation Menu;Get Patients;View Patients;Get Patient Identifiers;View Patient Identifiers;Get Locations;View Locations;Get Providers;Get Concepts;View Concepts;Get Care Settings;Get Visits;Add Visits;Edit Visits;Get Visit Types;Get Visit Attribute Types;Get Admission Locations;Get Beds;Get Encounters;View Encounters;Add Encounters;Edit Encounters;Get Encounter Types;Get Encounter Roles;Get Observations;View Observations;Add Observations;Edit Observations;Get Orders;View Orders;Add Orders;Edit Orders;Get Order Types;View Order Types;Get Order Frequencies;Get Diagnoses;Get Conditions;Get Allergies;View Allergies;Add Allergies;Edit Allergies;Task: dispensing.create.dispense;Task: dispensing.create.dispense.allowSubstitutions;Task: dispensing.edit.dispense;Task: dispensing.delete.dispense.ifCreator,
227fa2ff-f7ed-49f8-9fec-3ca63814df9e,super admin back privileges,Workaround con todos los privilegios backend sin privilegios app,Privilege Level: Full,Appointments: Invite Providers;Fua Privilege;Generate Fua from Visit;Get Admission Locations;Get Beds;Get Queue Entries;Get Queue Rooms;Get Queues;Manage Appointment Services;Manage Appointment Specialities;Manage Appointments;Manage Appointment Queue Lifecycle;Manage Cohort Definitions;Manage Data Set Definitions;Manage Dimension Definitions;Manage Fua;Manage Indicator Definitions;Manage OrderTemplates;Manage Own Appointments;Manage Queue Entries;Manage Queue Rooms;Manage Queues;Manage Report Definitions;Manage Report Designs;Manage Reports;Manage Scheduled Report Tasks;Manage Token Registrations;O3 Implementer Tools;Purge Queue Entries;Purge Queue Rooms;Read Fua;Reset Appointment Status;Run Reports;Task: dispensing.create.dispense;Task: dispensing.create.dispense.allowSubstitutions;Task: dispensing.delete.dispense;Task: dispensing.delete.dispense.ifCreator;Task: dispensing.edit.dispense;Update Fua;View Appointment Services;View Appointments;View Calculations;View Token Registrations,
